> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS), "edition 2"
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5DCS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> lambda (nm)	P(W/m2)
1228.0	4.454400E-01
1229.0	4.460800E-01
1230.0	4.392800E-01
1231.0	4.506700E-01
1232.0	4.452500E-01
1233.0	4.335900E-01
1234.0	4.489300E-01
1235.0	4.440900E-01
1236.0	4.479500E-01
1237.0	4.425900E-01
1238.0	4.469400E-01
1239.0	4.419400E-01
1240.0	4.401100E-01
1241.0	4.413000E-01
1242.0	4.417900E-01
1243.0	4.371200E-01
1244.0	4.349900E-01
1245.0	4.362200E-01
1246.0	4.390200E-01
1247.0	4.371500E-01
1248.0	4.382800E-01
1249.0	4.393000E-01
1250.0	4.368400E-01
1251.0	4.326000E-01
1252.0	4.310600E-01
1253.0	4.280300E-01
1254.0	4.241600E-01
1255.0	4.308800E-01
1256.0	4.209600E-01
1257.0	4.163000E-01
1258.0	4.254900E-01
1259.0	4.086800E-01
1260.0	4.123500E-01
1261.0	3.937100E-01
1262.0	3.786700E-01
1263.0	3.830000E-01
1264.0	3.556800E-01
1265.0	3.787100E-01
1266.0	3.688100E-01
1267.0	3.715900E-01
1268.0	3.547500E-01
1269.0	2.365600E-01
1270.0	3.708700E-01
1271.0	3.906200E-01
1272.0	3.911400E-01
1273.0	3.887400E-01
1274.0	3.886400E-01
1275.0	3.945500E-01
1276.0	3.989500E-01
1277.0	4.019100E-01
1278.0	4.091600E-01
1279.0	4.062600E-01
1280.0	4.038700E-01
1281.0	3.955400E-01
1282.0	3.569500E-01
1283.0	3.897800E-01
1284.0	4.026800E-01
1285.0	4.057700E-01
1286.0	4.087800E-01
1287.0	4.040500E-01
1288.0	4.019200E-01
1289.0	3.919400E-01
1290.0	3.952200E-01
1291.0	4.000400E-01
1292.0	3.794600E-01
1293.0	3.950600E-01
1294.0	3.870900E-01
1295.0	3.880100E-01
1296.0	3.732200E-01
1297.0	3.558300E-01
1298.0	3.753600E-01
1299.0	3.912700E-01
1300.0	3.385500E-01
1301.0	3.472800E-01
1302.0	3.753900E-01
1303.0	3.319700E-01
1304.0	2.884900E-01
1305.0	3.678300E-01
1306.0	3.685300E-01
1307.0	2.936200E-01
1308.0	3.327700E-01
1309.0	3.682200E-01
1310.0	2.890800E-01
1311.0	3.201200E-01
1312.0	3.198600E-01
1313.0	3.008900E-01
1314.0	2.769000E-01
1315.0	2.744700E-01
1316.0	3.111300E-01
1317.0	2.996900E-01
1318.0	3.198400E-01
1319.0	2.580300E-01
1320.0	2.486400E-01
1321.0	2.868400E-01
1322.0	2.902300E-01
1323.0	2.238600E-01
1324.0	2.523100E-01
1325.0	3.094300E-01
1326.0	2.695600E-01
1327.0	2.559300E-01
1328.0	2.255500E-01
1329.0	1.709700E-01
1330.0	2.205200E-01
1331.0	1.395100E-01
1332.0	1.404600E-01
1333.0	1.954500E-01
1334.0	1.630200E-01
1335.0	2.224400E-01
1336.0	1.767000E-01
1337.0	1.585200E-01
1338.0	1.715100E-01
1339.0	1.703300E-01
1340.0	1.621600E-01
1341.0	1.641900E-01
1342.0	1.714900E-01
1343.0	1.225900E-01
1344.0	7.301800E-02
1345.0	1.052100E-01
1346.0	5.618900E-02
1347.0	5.805800E-02
1348.0	4.586200E-03
1349.0	1.561700E-02
1350.0	1.548800E-02
1351.0	4.475900E-03
1352.0	1.466100E-03
1353.0	9.291800E-05
1354.0	2.805100E-04
1355.0	3.484700E-06
1356.0	4.648900E-05
1357.0	6.942900E-05
1358.0	4.057500E-06
1359.0	7.104000E-07
1360.0	2.070600E-06
1361.0	4.656600E-09
1362.0	1.748900E-11
1363.0	3.054000E-06
1364.0	1.315000E-06
1365.0	8.783300E-12
1366.0	1.237900E-05
1367.0	4.816100E-06
1368.0	1.431100E-13
1369.0	5.000800E-07
1370.0	2.826600E-07
1371.0	1.910100E-08
1372.0	2.662300E-06
1373.0	4.299100E-05
1374.0	1.735000E-04
1375.0	3.130900E-04
1376.0	2.493500E-04
1377.0	1.188300E-04
1378.0	1.074100E-03
1379.0	5.053300E-05
1380.0	7.904200E-05
1381.0	2.297800E-06
1382.0	2.487400E-06
1383.0	4.265300E-08
1384.0	5.978200E-07
1385.0	2.025500E-06
1386.0	2.444100E-06
1387.0	1.928800E-04
1388.0	3.903700E-06
1389.0	5.633800E-04
1390.0	4.783600E-04
1391.0	3.334500E-04
1392.0	2.306500E-05
1393.0	1.123800E-04
1394.0	7.326800E-05
1395.0	6.513700E-07
1396.0	6.133800E-09
1397.0	4.760500E-05
1398.0	1.232900E-03
1399.0	7.883500E-04
1400.0	3.151300E-09
1401.0	1.021900E-08
1402.0	1.781700E-03
1403.0	2.310800E-03
1404.0	7.175500E-04
1405.0	3.539500E-07
1406.0	1.986100E-03
1407.0	1.695700E-04
1408.0	1.602300E-03
1409.0	6.015900E-04
1410.0	4.533200E-04
1411.0	2.054400E-03
1412.0	2.565000E-03
1413.0	2.269000E-02
1414.0	3.535900E-04
1415.0	1.785400E-04
1416.0	3.456100E-02
1417.0	1.143100E-02
1418.0	1.318200E-02
1419.0	2.085100E-03
1420.0	8.043700E-03
1421.0	8.911700E-03
1422.0	4.502300E-02
1423.0	8.967600E-03
1424.0	1.651100E-02
1425.0	2.514200E-02
1426.0	2.703200E-02
1427.0	4.818000E-02
1428.0	4.436000E-03
1429.0	3.698500E-02
1430.0	5.991200E-02
1431.0	4.879200E-02
1432.0	2.452400E-03
1433.0	3.487000E-02
1434.0	2.040300E-02
1435.0	2.084700E-02
1436.0	3.732600E-02
1437.0	2.908500E-02
1438.0	1.291300E-02
1439.0	4.967200E-02
1440.0	3.854700E-02
1441.0	3.095900E-02
1442.0	3.535600E-02
1443.0	4.386800E-02
1444.0	6.014300E-02
1445.0	4.843400E-02
1446.0	2.249200E-02
1447.0	3.526500E-02
1448.0	1.125400E-01
1449.0	9.937400E-02
1450.0	2.669900E-02
1451.0	1.098000E-02
1452.0	6.071800E-02
1453.0	7.980300E-02
1454.0	1.338400E-01
1455.0	6.440900E-02
1456.0	8.615800E-02
1457.0	1.138600E-01
1458.0	1.327300E-01
1459.0	1.586000E-01
1460.0	8.316100E-02
1461.0	8.788600E-02
1462.0	1.270800E-01
1463.0	4.210600E-02
1464.0	1.477000E-01
1465.0	9.091100E-02
1466.0	6.349800E-02
1467.0	3.512800E-02
1468.0	7.492800E-02
1469.0	9.234400E-02
1470.0	4.839700E-02
1471.0	1.739400E-02
1472.0	4.556600E-02
1473.0	6.836800E-02
1474.0	9.476500E-02
1475.0	1.795400E-01
1476.0	6.698700E-02
1477.0	6.791600E-02
1478.0	6.182500E-02
1479.0	1.168000E-01
1480.0	5.906300E-02
1481.0	1.122100E-01
1482.0	5.696700E-02
1483.0	1.445400E-01
1484.0	1.337500E-01
1485.0	1.216800E-01
1486.0	1.200800E-01
1487.0	5.904200E-02
1488.0	9.165400E-02
1489.0	1.844300E-01
1490.0	1.699300E-01
1491.0	1.922200E-01
1492.0	1.598600E-01
1493.0	1.765100E-01
1494.0	1.979400E-01
1495.0	1.774500E-01
1496.0	1.638500E-01
1497.0	2.219800E-01
1498.0	1.843700E-01
1499.0	2.114100E-01
1500.0	2.433900E-01
1501.0	2.578200E-01
1502.0	2.268800E-01
1503.0	1.797200E-01
1504.0	1.558600E-01
1505.0	1.788500E-01
1506.0	2.502600E-01
1507.0	2.477900E-01
1508.0	2.360600E-01
1509.0	1.816900E-01
1510.0	2.626900E-01
1511.0	2.571000E-01
1512.0	2.531500E-01
1513.0	2.354400E-01
1514.0	2.193000E-01
1515.0	2.580400E-01
1516.0	2.494300E-01
1517.0	2.421400E-01
1518.0	2.448900E-01
1519.0	2.373900E-01
1520.0	2.568800E-01
1521.0	2.670700E-01
1522.0	2.561700E-01
1523.0	2.719200E-01
1524.0	2.674300E-01
1525.0	2.514000E-01
1526.0	2.597700E-01
1527.0	2.546800E-01
1528.0	2.712200E-01
1529.0	2.646000E-01
1530.0	2.478900E-01
1531.0	2.620000E-01
1532.0	2.703900E-01
1533.0	2.691800E-01
1534.0	2.612200E-01
1535.0	2.592400E-01
1536.0	2.667900E-01
1537.0	2.655800E-01
1538.0	2.642700E-01
1539.0	2.651900E-01
1540.0	2.573700E-01
1541.0	2.614100E-01
1542.0	2.616500E-01
1543.0	2.643900E-01
1544.0	2.644300E-01
1545.0	2.692200E-01
1546.0	2.670500E-01
1547.0	2.653700E-01
1548.0	2.592000E-01
1549.0	2.656800E-01
1550.0	2.622600E-01
1551.0	2.629300E-01
1552.0	2.641500E-01
1553.0	2.636600E-01
1554.0	2.572700E-01
1555.0	2.600500E-01
1556.0	2.556900E-01
1557.0	2.630100E-01
1558.0	2.609300E-01
1559.0	2.605400E-01
1560.0	2.582100E-01
1561.0	2.624200E-01
1562.0	2.600300E-01
1563.0	2.591700E-01
1564.0	2.552500E-01
1565.0	2.597500E-01
1566.0	2.550600E-01
1567.0	2.556600E-01
1568.0	2.499700E-01
1569.0	2.473600E-01
1570.0	2.349700E-01
1571.0	2.285000E-01
1572.0	2.310800E-01
1573.0	2.275000E-01
1574.0	2.346400E-01
1575.0	2.329400E-01
1576.0	2.398000E-01
1577.0	2.099400E-01
1578.0	2.285400E-01
1579.0	2.300500E-01
1580.0	2.377200E-01
1581.0	2.416500E-01
1582.0	2.350800E-01
1583.0	2.405100E-01
1584.0	2.419400E-01
1585.0	2.513500E-01
1586.0	2.483800E-01
1587.0	2.457900E-01
1588.0	2.438800E-01
1589.0	2.256700E-01
1590.0	2.348600E-01
1591.0	2.350300E-01
1592.0	2.450200E-01
1593.0	2.509200E-01
1594.0	2.489000E-01
1595.0	2.508300E-01
1596.0	2.375100E-01
1597.0	2.398500E-01
1598.0	2.469300E-01
1599.0	2.351100E-01
1600.0	2.313300E-01
1601.0	2.169100E-01
1602.0	2.178000E-01
1603.0	2.176500E-01
1604.0	2.219700E-01
1605.0	2.301000E-01
1606.0	2.345300E-01
1607.0	2.263700E-01
1608.0	2.234300E-01
1609.0	2.208800E-01
1610.0	2.114600E-01
1611.0	2.203900E-01
1612.0	2.242200E-01
1613.0	2.304700E-01
1614.0	2.316200E-01
1615.0	2.342000E-01
1616.0	2.239500E-01
1617.0	2.279800E-01
1618.0	2.366000E-01
1619.0	2.341500E-01
1620.0	2.278300E-01
1621.0	2.276500E-01
1622.0	2.308100E-01
1623.0	2.355900E-01
1624.0	2.358200E-01
1625.0	2.310900E-01
1626.0	2.329400E-01
1627.0	2.339800E-01
1628.0	2.344600E-01
1629.0	2.345600E-01
1630.0	2.298400E-01
1631.0	2.313600E-01
1632.0	2.315100E-01
1633.0	2.261400E-01
1634.0	2.262800E-01
1635.0	2.271200E-01
1636.0	2.287900E-01
1637.0	2.206400E-01
1638.0	2.139300E-01
1639.0	2.141000E-01
1640.0	2.091300E-01
1641.0	2.134800E-01
1642.0	2.146700E-01
1643.0	2.093900E-01
1644.0	2.173300E-01
1645.0	2.121600E-01
1646.0	2.114700E-01
1647.0	2.213500E-01
1648.0	2.105700E-01
1649.0	2.126100E-01
1650.0	2.190200E-01
1651.0	2.028100E-01
1652.0	2.175400E-01
1653.0	2.166100E-01
1654.0	2.099100E-01
1655.0	2.161900E-01
1656.0	2.149400E-01
1657.0	2.161300E-01
1658.0	2.187000E-01
1659.0	2.151400E-01
1660.0	2.172100E-01
1661.0	2.177400E-01
1662.0	2.131300E-01
1663.0	2.163000E-01
1664.0	2.149800E-01
1665.0	2.060700E-01
1666.0	1.741100E-01
1667.0	2.050200E-01
1668.0	2.088100E-01
1669.0	2.093900E-01
1670.0	2.157300E-01
1671.0	2.129400E-01
1672.0	2.058200E-01
1673.0	2.105200E-01
1674.0	2.100200E-01
1675.0	2.079300E-01
1676.0	2.058400E-01
1677.0	2.066800E-01
1678.0	2.036500E-01
1679.0	2.074100E-01
1680.0	2.001700E-01
1681.0	1.893600E-01
1682.0	1.983000E-01
1683.0	2.035700E-01
1684.0	1.928300E-01
1685.0	2.076300E-01
1686.0	2.047600E-01
1687.0	1.995100E-01
1688.0	2.046500E-01
1689.0	2.017800E-01
1690.0	1.999100E-01
1691.0	1.880800E-01
1692.0	2.017400E-01
1693.0	2.058700E-01
1694.0	1.995000E-01
1695.0	2.042700E-01
1696.0	2.038300E-01
1697.0	1.764900E-01
1698.0	2.020700E-01
1699.0	2.002400E-01
1700.0	2.919600E-01
1702.0	4.968500E-01
1705.0	7.710000E-01
1710.0	9.158000E-01
1715.0	9.245000E-01
1720.0	9.115500E-01
1725.0	8.683500E-01
1730.0	8.489500E-01
1735.0	7.879000E-01
1740.0	8.202500E-01
1745.0	7.552500E-01
1750.0	8.081000E-01
1755.0	7.465500E-01
1760.0	7.804000E-01
1765.0	6.483500E-01
1770.0	6.915500E-01
1775.0	5.606500E-01
1780.0	4.907150E-01
1785.0	3.760050E-01
1790.0	4.341550E-01
1795.0	2.293200E-01
1800.0	1.555600E-01
1805.0	7.242500E-02
1810.0	4.738100E-02
1815.0	1.604650E-02
1820.0	4.828900E-03
1825.0	6.231500E-03
1830.0	2.544800E-05
1835.0	3.139200E-05
1840.0	3.066850E-07
1845.0	3.064900E-05
1850.0	1.467400E-05
1855.0	1.389750E-06
1860.0	5.460000E-05
1865.0	8.322000E-05
1870.0	1.307400E-09
1875.0	2.214800E-09
1880.0	3.806150E-04
1885.0	2.156450E-04
1890.0	1.097800E-03
1895.0	6.371500E-04
1900.0	4.245800E-06
1905.0	2.789900E-06
1910.0	1.136300E-04
1915.0	9.836500E-05
1920.0	2.222550E-03
1925.0	4.616300E-03
1930.0	2.723700E-03
1935.0	1.771400E-02
1940.0	1.617850E-02
1945.0	5.353500E-02
1950.0	8.241000E-02
1955.0	4.943000E-02
1960.0	1.078450E-01
1965.0	1.405700E-01
1970.0	2.402750E-01
1975.0	3.336500E-01
1980.0	3.711700E-01
1985.0	4.081250E-01
1990.0	4.206200E-01
1995.0	3.989350E-01
2000.0	1.874550E-01
2005.0	7.373500E-02
2010.0	1.953550E-01
2015.0	1.310400E-01
2020.0	2.211950E-01
2025.0	3.638950E-01
2030.0	4.173000E-01
2035.0	4.740400E-01
2040.0	4.417200E-01
2045.0	4.481800E-01
2050.0	3.344600E-01
2055.0	2.704500E-01
2060.0	3.407850E-01
2065.0	3.048100E-01
2070.0	3.235750E-01
2075.0	3.815250E-01
2080.0	4.276400E-01
2085.0	4.192350E-01
2090.0	4.388950E-01
2095.0	4.421050E-01
2100.0	4.243450E-01
2105.0	4.588550E-01
2110.0	4.416000E-01
2115.0	4.515400E-01
2120.0	4.314050E-01
2125.0	4.365150E-01
2130.0	4.421100E-01
2135.0	4.433950E-01
2140.0	4.469500E-01
2145.0	4.406600E-01
2150.0	4.168450E-01
2155.0	4.178300E-01
2160.0	4.145600E-01
2165.0	3.758750E-01
2170.0	4.038800E-01
2175.0	3.962850E-01
2180.0	4.029850E-01
2185.0	3.672900E-01
2190.0	3.895250E-01
2195.0	3.891650E-01
2200.0	3.508750E-01
2205.0	3.647350E-01
2210.0	3.908700E-01
2215.0	3.759450E-01
2220.0	3.831550E-01
2225.0	3.720000E-01
2230.0	3.736350E-01
2235.0	3.664500E-01
2240.0	3.607000E-01
2245.0	3.495550E-01
2250.0	3.551700E-01
2255.0	3.343250E-01
2260.0	3.307150E-01
2265.0	3.367750E-01
2270.0	3.206900E-01
2275.0	3.165450E-01
2280.0	3.277550E-01
2285.0	3.119450E-01
2290.0	3.126700E-01
2295.0	3.030150E-01
2300.0	2.909650E-01
2305.0	2.927200E-01
2310.0	3.159450E-01
2315.0	2.876400E-01
2320.0	2.574450E-01
2325.0	2.781300E-01
2330.0	2.811550E-01
2335.0	2.868100E-01
2340.0	2.268300E-01
2345.0	2.543450E-01
2350.0	2.055750E-01
2355.0	2.349400E-01
2360.0	2.486200E-01
2365.0	2.445450E-01
2370.0	1.525700E-01
2375.0	2.185200E-01
2380.0	2.106400E-01
2385.0	1.526250E-01
2390.0	1.837400E-01
2395.0	2.009950E-01
2400.0	2.186300E-01
2405.0	1.664300E-01
2410.0	1.675200E-01
2415.0	1.352900E-01
2420.0	1.317900E-01
2425.0	1.640100E-01
2430.0	2.236250E-01
2435.0	7.382500E-02
2440.0	2.146300E-01
2445.0	1.032850E-01
2450.0	6.761500E-02
2455.0	1.234750E-01
2460.0	1.657850E-01
2465.0	1.200450E-01
2470.0	8.317500E-02
2475.0	8.184000E-02
2480.0	3.999800E-02
2485.0	2.792000E-02
2490.0	1.747850E-02
2495.0	1.432350E-02
2500.0	3.516400E-02
2505.0	7.562000E-03
2510.0	1.103150E-02
2515.0	2.582200E-03
2520.0	1.843950E-03
2525.0	2.059700E-04
2530.0	3.163950E-06
2535.0	8.707500E-07
2540.0	1.876050E-06
2545.0	2.673450E-10
2550.0	1.403300E-12
2555.0	5.188500E-09
2560.0	1.542100E-10
2565.0	7.923000E-14
2570.0	7.575500E-18
2575.0	5.354000E-27
2580.0	1.896650E-21
2585.0	8.532000E-34
2590.0	2.718450E-30
2595.0	1.133300E-32
2600.0	2.227800E-27
2605.0	2.879600E-34
2610.0	2.948500E-33
2615.0	5.553000E-37
2620.0	2.802800E-28
2625.0	1.918900E-27
2630.0	1.401300E-44
2635.0	1.935950E-15
2640.0	5.828500E-16
2645.0	4.464600E-18
2650.0	7.093000E-19
2655.0	6.518000E-27
2660.0	1.294000E-24
2665.0	5.522500E-37
2670.0	0.000000E+00
2675.0	0.000000E+00
2680.0	0.000000E+00
2685.0	0.000000E+00
2690.0	5.089000E-29
2695.0	3.550700E-32
2700.0	0.000000E+00
2705.0	1.463650E-41
2710.0	5.619500E-35
2715.0	1.927450E-25
2720.0	2.802600E-44
2725.0	3.654700E-21
2730.0	3.046450E-18
2735.0	2.756050E-20
2740.0	1.171750E-26
2745.0	6.612000E-23
2750.0	8.379000E-28
2755.0	3.363100E-43
2760.0	0.000000E+00
2765.0	1.350050E-26
2770.0	4.226400E-23
2775.0	2.018000E-37
2780.0	2.426600E-33
2785.0	1.962750E-26
2790.0	6.147500E-16
2795.0	1.829550E-15
2800.0	8.332500E-12
2805.0	3.411400E-13
2810.0	2.034750E-09
2815.0	1.450900E-09
2820.0	1.039450E-10
2825.0	8.907000E-07
2830.0	1.973750E-05
2835.0	1.076650E-09
2840.0	9.924500E-07
2845.0	2.053700E-04
2850.0	5.854000E-06
2855.0	2.271250E-06
2860.0	1.283600E-04
2865.0	8.487000E-04
2870.0	3.196100E-05
2875.0	1.983150E-03
2880.0	1.251850E-03
2885.0	2.295300E-03
2890.0	9.430000E-04
2895.0	1.349100E-02
2900.0	4.109150E-03
2905.0	5.618500E-04
2910.0	1.378300E-02
2915.0	6.371000E-03
2920.0	1.465800E-02
2925.0	5.486500E-03
2930.0	2.980300E-02
2935.0	3.286250E-02
2940.0	8.239500E-03
2945.0	7.336500E-03
2950.0	2.646750E-02
2955.0	1.182750E-02
2960.0	2.327450E-02
2965.0	3.765650E-02
2970.0	1.783800E-03
2975.0	4.324950E-03
2980.0	6.774000E-03
2985.0	3.524750E-02
2990.0	5.203500E-02
2995.0	2.164300E-02
3000.0	3.972100E-02
3005.0	1.463050E-02
3010.0	3.466000E-02
3015.0	2.811600E-02
3020.0	3.207150E-03
3025.0	3.797400E-02
3030.0	3.074550E-02
3035.0	1.264500E-02
3040.0	1.024350E-02
3045.0	2.129950E-02
3050.0	5.223000E-03
3055.0	1.464750E-03
3060.0	3.188050E-02
3065.0	1.472900E-02
3070.0	8.849500E-03
3075.0	3.046400E-02
3080.0	1.832300E-02
3085.0	8.938000E-03
3090.0	1.204000E-02
3095.0	3.313300E-03
3100.0	2.225650E-02
3105.0	4.660150E-03
3110.0	4.276200E-03
3115.0	1.146600E-02
3120.0	4.964700E-02
3125.0	1.531250E-02
3130.0	2.912300E-02
3135.0	5.785500E-02
3140.0	1.680150E-02
3145.0	1.643450E-02
3150.0	3.372850E-02
3155.0	2.848250E-02
3160.0	4.664700E-02
3165.0	7.081500E-02
3170.0	6.322500E-02
3175.0	4.662600E-02
3180.0	5.365000E-02
3185.0	4.082200E-02
3190.0	2.140850E-02
3195.0	1.359850E-02
3200.0	2.214000E-03
3205.0	1.564000E-03
3210.0	6.884000E-04
3215.0	2.511850E-03
3220.0	8.122500E-03
3225.0	1.003300E-03
3230.0	1.720200E-03
3235.0	3.681250E-02
3240.0	1.890800E-02
3245.0	3.704800E-03
3250.0	1.315400E-02
3255.0	5.014500E-02
3260.0	6.180000E-03
3265.0	1.234300E-02
3270.0	6.146000E-03
3275.0	2.987900E-02
3280.0	1.444500E-02
3285.0	5.611500E-02
3290.0	4.415500E-02
3295.0	6.168500E-03
3300.0	8.972000E-03
3305.0	1.987300E-02
3310.0	1.978250E-02
3315.0	8.134500E-05
3320.0	3.024800E-04
3325.0	1.774300E-02
3330.0	2.350700E-02
3335.0	4.573500E-02
3340.0	1.745150E-02
3345.0	1.786100E-02
3350.0	4.049900E-02
3355.0	1.832100E-02
3360.0	2.644600E-02
3365.0	3.629550E-02
3370.0	1.988500E-02
3375.0	4.269400E-02
3380.0	2.581200E-02
3385.0	3.782500E-02
3390.0	4.977600E-02
3395.0	4.822300E-02
3400.0	6.319000E-02
3405.0	2.253050E-02
3410.0	3.577350E-02
3415.0	3.677150E-02
3420.0	6.652500E-02
3425.0	5.056000E-02
3430.0	4.390500E-02
3435.0	5.836500E-02
3440.0	4.059050E-02
3445.0	5.717000E-02
3450.0	5.633500E-02
3455.0	4.196900E-02
3460.0	6.328500E-02
3465.0	4.958150E-02
3470.0	6.193000E-02
3475.0	5.525500E-02
3480.0	5.667500E-02
3485.0	6.106000E-02
3490.0	5.260000E-02
3495.0	6.191500E-02
3500.0	6.016000E-02
3505.0	5.961500E-02
3510.0	6.038500E-02
3515.0	5.799000E-02
3520.0	6.113000E-02
3525.0	5.761500E-02
3530.0	5.608500E-02
3535.0	4.765250E-02
3540.0	4.550550E-02
3545.0	4.807700E-02
3550.0	5.308000E-02
3555.0	4.562250E-02
3560.0	5.436000E-02
3565.0	5.464000E-02
3570.0	4.197550E-02
3575.0	4.351400E-02
3580.0	5.127500E-02
3585.0	4.614100E-02
3590.0	4.757250E-02
3595.0	4.866450E-02
3600.0	5.164000E-02
3605.0	5.212500E-02
3610.0	4.769250E-02
3615.0	4.765900E-02
3620.0	5.843000E-02
3625.0	5.151000E-02
3630.0	5.008000E-02
3635.0	5.181000E-02
3640.0	5.774500E-02
3645.0	5.331500E-02
3650.0	5.091500E-02
3655.0	5.521000E-02
3660.0	5.489000E-02
3665.0	5.156500E-02
3670.0	3.973200E-02
3675.0	2.428450E-02
3680.0	4.189450E-02
3685.0	4.745300E-02
3690.0	4.872900E-02
3695.0	5.094000E-02
3700.0	5.468500E-02
3705.0	5.413500E-02
3710.0	4.706500E-02
3715.0	4.636550E-02
3720.0	5.214500E-02
3725.0	5.375500E-02
3730.0	4.658450E-02
3735.0	4.313000E-02
3740.0	4.446150E-02
3745.0	5.190000E-02
3750.0	4.667050E-02
3755.0	4.516800E-02
3760.0	4.452050E-02
3765.0	4.294550E-02
3770.0	4.582450E-02
3775.0	4.545900E-02
3780.0	4.807900E-02
3785.0	4.424900E-02
3790.0	3.894550E-02
3795.0	4.452800E-02
3800.0	4.949400E-02
3805.0	4.670700E-02
3810.0	4.138550E-02
3815.0	3.893350E-02
3820.0	4.845400E-02
3825.0	4.770100E-02
3830.0	4.813400E-02
3835.0	3.859500E-02
3840.0	4.503300E-02
3845.0	4.404850E-02
3850.0	4.428450E-02
3855.0	4.268250E-02
3860.0	4.009850E-02
3865.0	4.062400E-02
3870.0	3.691950E-02
3875.0	3.391600E-02
3880.0	3.277150E-02
3885.0	3.396300E-02
3890.0	3.451400E-02
3895.0	3.749150E-02
3900.0	3.974350E-02
3905.0	3.975000E-02
3910.0	3.578000E-02
3915.0	3.503500E-02
3920.0	3.483250E-02
3925.0	3.435700E-02
3930.0	3.534950E-02
3935.0	3.687150E-02
3940.0	3.711400E-02
3945.0	3.780650E-02
3950.0	3.823750E-02
3955.0	3.869950E-02
3960.0	3.883950E-02
3965.0	3.912650E-02
3970.0	3.849850E-02
3975.0	3.764000E-02
3980.0	3.702450E-02
3985.0	3.725150E-02
3990.0	3.694700E-02
3995.0	3.613150E-02
4000.0	5.339925E-02
