Wavelength (nm)	Si_n	Si_k 
1.32	3.501	1.6807e-10
1.33	3.5	8.4670e-11
1.34	3.498	3.7322e-11
1.35	3.497	1.8263e-11
1.36	3.496	1.0823e-11
1.37	3.495	7.3044e-12
1.38	3.493	4.9418e-12
1.39	3.492	2.7653e-12
1.4	3.491	2.2282e-12
1.41	3.49	1.6831e-12
1.42	3.489	9.6050e-13
1.43	3.488	8.7623e-13
1.44	3.487	4.8128e-13
1.45	3.486	3.6924e-13
10	3.42	1.0000e-13
10.001	3.42	1.0000e-13
10.002	3.42	1.0000e-13
